_no,_name,_max_hp,_max_mp,_min_attack,_max_attack,_defence,_min_magic_attack,_max_magic_attack,_fire_res,_cold_res,_earth_res,_dark_res,_poison_res,_avoid,_item_property_type,_hand,_enhance_limit,_skill_limit,_nickName
1,철 투구,,,,,3,,,,,,,,,,,2,1,helmet1
2,기사 투구,,,,,5,,,,,,,,,,,2,1,helmet2
3,기사단장 투구,20,,,,5,,,,,,,,,,,2,3,helmet4
4,황금 투구,20,,,,5,,,,,,,10,,,,2,3,helmet5
5,돌가면,,,,,5,,,,,20,20,,,,,2,0,helmet6
6,금고아,,,10,10,5,,,,,,,,10,,,2,3,helmet7
7,투사의 투구,20,,10,10,5,,,,,,,,,,,2,3,helmet11
8,코볼트 왕관,20,,,,5,,,,,,,,,,,2,0,helmet13
9,마술사 모자,20,20,,,5,,,,,,,,,,,2,0,helmet8
10,요리사 모자,,,,,5,,,10,10,10,,,,,,2,0,helmet9
11,광대 모자,20,,,,5,,,,,,,10,10,,,2,0,helmet12
12,마법사 모자,,,,,5,10,10,,,,,,,,,2,0,helmet14
13,사냥꾼 모자,,,,,5,,,,,,,10,10,,,2,0,helmet16
14,탐험가 모자,20,,,,5,,,,,10,10,,,,,2,0,helmet17
15,대마도사 모자,,20,,,5,20,20,,,,,,,,,2,0,helmet18
16,투구,,,,,5,,,,,,,,,,,2,1,helmet3
17,투구,,,,,5,,,,,,,,,,,2,1,helmet10
18,모자,,,,,5,,,,,,,,,,,2,0,helmet15
